"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000590641",51.2979311182897,-0.167130778109335,0.0249225408294009,-6.70600879955914,2.00019666131577e-11,2.24503706079683e-10
"ENST00000481519",66.247993064362,0.129409081160822,0.0192976526447666,6.70594934746722,2.0010112944094e-11,2.24579863621376e-10
"ENST00000619640",42.6874342801684,0.181641986395584,0.0270869033629335,6.70589708841166,2.00172763429921e-11,2.2464497979429e-10
"ENST00000578419",85.7777782272159,0.139585879960127,0.0208154449251646,6.70588019914849,2.00195919719493e-11,2.24655686446291e-10
"ENST00000327773",112.460680962241,0.179842124455393,0.0268186340106889,6.70586445169857,2.00217512870844e-11,2.24664637640179e-10
"ENST00000360683",28.3283205988567,-0.253683727305621,0.0378302186051614,-6.7058488335304,2.00238931001395e-11,2.24673391238654e-10
"ENST00000613993",33.8731951823563,-0.270247714615691,0.0403005247933519,-6.70581130150125,2.00290410096844e-11,2.24715870552963e-10
"ENST00000486322",68.2191325313336,-0.142135350541085,0.0211965103387738,-6.7056014537017,2.00578477113726e-11,2.25023765913525e-10
"ENST00000291634",60.5886226547208,0.164008583228709,0.0244587487894432,6.70551812116806,2.00692983728397e-11,2.25136919753081e-10
"ENST00000491287",78.0527640956656,-0.197647941949815,0.0294758663846612,-6.70541586023295,2.00833587182908e-11,2.25279331590569e-10
"ENST00000496334",244.784013701348,-0.244095122151326,0.036403022217827,-6.70535321739824,2.00919765446419e-11,2.25360678314523e-10
"ENST00000510586",35.2683964463559,-0.216432966968057,0.0322779913885948,-6.70527990302803,2.01020670613601e-11,2.25458531216236e-10
"ENST00000463894",31.3056777540343,0.247971182275232,0.0369823645499137,6.7051197318807,2.01241292484049e-11,2.25676622362383e-10
"ENST00000467421",140.703395519731,0.10495684345772,0.0156532412726597,6.70511887151707,2.01242478200282e-11,2.25676622362383e-10
"ENST00000412355",166.27041231303,-0.165182182471042,0.0246354594746761,-6.7050579121871,2.01326507146111e-11,2.25755509855005e-10
"ENST00000221975",235.641309710184,-0.306039068083456,0.0456436512130264,-6.70496465445155,2.01455124075719e-11,2.25869031949913e-10
