"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000458443",537.111268491144,0.0793029829425926,0.028585424199179,2.77424544726085,0.00553299157611722,0.020674056591021
"ENST00000458458",43.0793157484263,-0.0764380526623241,0.0262777846137005,-2.90884691331519,0.00362764447804167,0.0144700679989813
"ENST00000458461",72.0052295896111,-0.0841422959387903,0.0342128452001285,-2.45937733171851,0.0139178251259023,0.0445714394052783
"ENST00000458464",56.6173292446725,-0.0818488554551092,0.0327111561487559,-2.50216944588864,0.0123434831818989,0.0403516718377301
"ENST00000458477",86.3357092320599,0.306927488233144,0.0361028740910535,8.50146964640696,1.87205331536721e-17,2.49915965996614e-15
"ENST00000458492",24.2201144103374,0.123439358390747,0.0339955536850949,3.63104421049239,0.000282276820084197,0.00163196174387844
"ENST00000458493",45.7691414611895,-0.147985304847001,0.038756631621104,-3.81832214661347,0.000134362398505379,0.000856381423194913
"ENST00000458494",55.4754613228093,-0.13637587823187,0.0270638032724255,-5.03905075199906,4.67846423047087e-07,5.97267739753487e-06
"ENST00000458502",17.5083172226166,0.215124645435973,0.0751832895190063,2.8613359007335,0.00421859830732327,0.0164634449960849
"ENST00000458529",116.613916632052,0.290361202457625,0.0332656074010077,8.72857059116345,2.57911451125283e-18,4.16111134309923e-16
"ENST00000458530",21.7649945514238,-0.19077195843589,0.0405603171075241,-4.70341387938757,2.55847041952375e-06,2.67918900399332e-05
"ENST00000458531",106.599716244152,-0.104661869549731,0.0303241028604367,-3.45144158201235,0.000557600451171416,0.00293719945376584
"ENST00000458533",14.3738000849324,0.162967079109094,0.0444155767159777,3.6691424756502,0.000243365427198461,0.00143487799888349
"ENST00000458550",76.854908050599,0.103078246205589,0.031794045015107,3.24206140353046,0.0011866845127133,0.00560045877036986
"ENST00000458552",79.2234666680323,-0.140147302229822,0.04219440202468,-3.32146672318875,0.000895456596282906,0.00440345522136007
"ENST00000458555",20.35397961413,0.190204172100184,0.046661368961873,4.07626643478034,4.57645789587888e-05,0.000336505130722243
"ENST00000458566",65.2716616232767,-0.311987844415075,0.0430432310431992,-7.24824407586772,4.22209279192886e-13,2.17475488284751e-11
"ENST00000458570",15.8273037573876,-0.129017108036611,0.0403424558829521,-3.19804794261746,0.00138361275529877,0.00638747885368118
"ENST00000458572",82.8916095897655,0.076384066453889,0.0265840409882287,2.8733053220807,0.00406201338985776,0.0159373379738232
"ENST00000458573",512.674480920514,-0.182086836368013,0.0421058215802138,-4.32450500986255,1.52874730133864e-05,0.00012854056144794
"ENST00000458574",190.388123198461,-0.155258042028679,0.0378096221870508,-4.10631032652457,4.02029289981641e-05,0.000300897769107731
"ENST00000458595",121.171310613176,0.0770628501443132,0.0312279126345393,2.4677554035129,0.0135963188963815,0.0437015482082308
"ENST00000458604",52.9955291795932,-0.121294766863883,0.0435392526632667,-2.78587158585331,0.00533840152686514,0.0200627755581683
"ENST00000458616",58.591738892175,-0.0627605435639969,0.0212454899140142,-2.95406431284967,0.00313618640788144,0.0128099984429887
"ENST00000458636",22.2702322682667,-0.0993300288976301,0.034417700375912,-2.88601585267877,0.00390152504911424,0.0153983243751076
"ENST00000458646",12.3218725640883,-0.109659815586586,0.0450060362156199,-2.43655795549769,0.014827793149991,0.0469452554731393
"ENST00000458647",29.8880891265167,0.142455257409449,0.0304371519225968,4.68030838666245,2.86443719069317e-06,2.95184068028053e-05
"ENST00000458659",156.015607060526,-0.248748501253669,0.0387911298350907,-6.4125098266318,1.43143195646669e-10,4.29396273619322e-09
"ENST00000458663",140.126205779465,0.35483706855553,0.0470384540749387,7.5435529405415,4.57337052296253e-14,2.92939528053217e-12
"ENST00000458666",37.9075298732934,-0.0906386414192834,0.026721956238586,-3.39191639302226,0.000694056150790375,0.00354005690135558
"ENST00000458672",8.423230243638,-0.190717957202747,0.0554745364693264,-3.43793692279341,0.000586164223822623,0.00306688114414663
"ENST00000458677",28.1471843495168,0.139922481031176,0.0319407598434797,4.38068730101735,1.18305547938037e-05,0.000102669147364054
"ENST00000458681",78.6647050329283,0.0990233110902745,0.0298213991868051,3.32054544020485,0.000898417325369302,0.00441623463099026
"ENST00000458686",31.3819342111601,0.182495991132338,0.0327803009896371,5.56724574280238,2.58797298850975e-08,4.55136575832438e-07
"ENST00000458695",111.552722264983,-0.0948980142373837,0.022421608519225,-4.2324356058583,2.3117411311548e-05,0.000185280420677495
"ENST00000458698",39.3045924789855,0.168886165756658,0.0333355966145121,5.06624098286385,4.05748205064984e-07,5.26811644130055e-06
"ENST00000458700",75.7085419923887,-0.284952823558109,0.0506152316019394,-5.62978404996946,1.80435389923044e-08,3.30251945761513e-07
"ENST00000458705",71.0329853333993,-0.149991048088273,0.0411336805363356,-3.64642906087088,0.000265909842035735,0.00155019995069097
"ENST00000458707",29.1225565375925,-0.115241411588976,0.0443181047975323,-2.60032354983267,0.00931359020871712,0.0319448550518329
"ENST00000458715",53.4748521456257,-0.0695210973790682,0.0225149776049327,-3.08777110947857,0.00201663731389057,0.00879279988079314
"ENST00000458716",79.818602355473,-0.109766843540517,0.037665956637268,-2.91421892181308,0.00356579752632848,0.0142646291962566
"ENST00000458725",11.0402461470377,-0.211354176879673,0.0477105368216619,-4.42992661494666,9.42651601891084e-06,8.41688849529999e-05
"ENST00000458726",29.2888098558654,0.15602592025378,0.0323189937497233,4.82768496637108,1.38129374449035e-06,1.55554684869127e-05
"ENST00000458728",8.90874564344664,0.147648772532632,0.0551126278251215,2.67903706208926,0.0073834221006591,0.0263005909636846
"ENST00000458729",139.304380619559,0.148287297298104,0.060774285638829,2.43996775510204,0.0146885729337827,0.0465947058365911
"ENST00000458748",26.3936968328722,-0.122297282213277,0.0477093084116716,-2.56338409180037,0.0103657305074849,0.0348992356719965
"ENST00000458763",50.6041655888907,-0.0656494339655952,0.0248457828578885,-2.6422767332828,0.00823507397088959,0.0288012391445345
"ENST00000458781",162.357795105589,0.398160622904192,0.0622712421462804,6.39397271004936,1.61630288253304e-10,4.79497141710082e-09
"ENST00000458790",90.3346180987932,-0.401613783971515,0.146647733312647,-2.73862933234222,0.00616958887325835,0.0226445757218996
"ENST00000458797",460.36036458617,-0.171590354860136,0.0454009526275333,-3.77944393078827,0.000157178980443764,0.000982847359636444
"ENST00000458806",8.42767506688239,0.18612428201187,0.0741504010164225,2.51009137456517,0.0120699924828918,0.0395915724470881
"ENST00000458819",135.408585093323,0.21841032211682,0.0754324633548895,2.89544199410879,0.00378624998448275,0.0150121025634757
"ENST00000458843",25.3854662407752,0.12912989263748,0.0531001684944078,2.43181700357654,0.015023295449,0.0474694591881259
"ENST00000458850",58.8380645933939,0.20814559717071,0.0465402469822567,4.47237843946263,7.7354374583795e-06,7.07910813127037e-05
"ENST00000458862",363.738864612124,-0.0966654472060789,0.0374929899197354,-2.57822722095569,0.00993086725070496,0.0336962371898933
"ENST00000458885",120.598916400974,-0.141270272923479,0.0306315486142036,-4.61192069335903,3.98965220988652e-06,3.94502700841176e-05
"ENST00000458892",15.5726256495879,-0.42682880972869,0.0674641601285715,-6.3267490311189,2.50380078665369e-10,7.10235717331654e-09
"ENST00000458904",10.2945897952568,0.320278893190452,0.093125677255942,3.43921142511762,0.000583411408195026,0.0030536869866039
"ENST00000458915",108.094769100916,0.11565709888354,0.0317341271966199,3.64456530242491,0.000267844123600438,0.00155972119061998
"ENST00000458922",32.1860226967923,-0.112641193795986,0.033842040024951,-3.32843982552287,0.000873338692999079,0.00431045254650042
"ENST00000458943",63.6180092093738,-0.428081218846821,0.0595902273712426,-7.18374870731584,6.78254801334612e-13,3.35208783024195e-11
"ENST00000458963",96.4548645980026,-0.176025678598003,0.0332335870500735,-5.29661990241326,1.17965889229921e-07,1.76233215602003e-06
"ENST00000458985",7.36404711609894,0.15768757927732,0.0647915225034729,2.43376869665113,0.0149425403245774,0.0472444977082351
"ENST00000458992",143.645008278391,-0.187474790845063,0.036990723586952,-5.06815689626554,4.01686247915328e-07,5.22079758433162e-06
"ENST00000458993",53.969180659799,0.176942462308857,0.045148534431084,3.91911862784709,8.88733668136901e-05,0.000598588375724466
"ENST00000459011",31.9267098604453,0.230605320475485,0.0342903873471251,6.72507190254351,1.7550575429608e-11,6.43423731122079e-10
"ENST00000459070",42.4271385420238,-0.279625384017369,0.0462715599757069,-6.04313717030884,1.51146045556432e-09,3.61774196212918e-08
"ENST00000459077",50.7223987255441,0.19688909104913,0.05133367505716,3.83547624108139,0.000125321221274882,0.000806225382488578
"ENST00000459091",13.5864323097681,-0.278152749900217,0.088811705122719,-3.13193795250151,0.00173656571151416,0.00775018845266343
"ENST00000459097",52.4428768945711,-0.383753462111424,0.0528293286803551,-7.26402306630342,3.75743892282802e-13,1.9583134518726e-11
"ENST00000459124",15.3097831115728,-0.128523734769123,0.0471661857088379,-2.72491262198971,0.0064318506298986,0.0234433209804054
"ENST00000459170",80.3877155881558,-0.100969983545668,0.0376747659718847,-2.68004275384267,0.0073612757496223,0.0262328979145043
"ENST00000459176",230.289781998771,-0.236249416040319,0.0468707709972014,-5.04044228447672,4.64457187710299e-07,5.93514238515048e-06
"ENST00000459187",24.504323451289,-0.230682217143114,0.0649492948296154,-3.55172781703441,0.000382710526227934,0.00211950828011473
"ENST00000459197",131.253736016208,0.145676344565593,0.0470278650368818,3.09766017341732,0.00195054957078914,0.00855288671870594
"ENST00000459199",65.8313030554488,0.624498001613525,0.0945268835927715,6.60656500963161,3.93339586652846e-11,1.33380553955088e-09
"ENST00000459204",33.0433974308134,-0.106441383686678,0.0431872704090607,-2.46464716752153,0.0137148229232153,0.044024451116851
"ENST00000459219",17.0556583195024,-0.276628045678117,0.0770244985067977,-3.59142936391469,0.000328869315428371,0.00186149962345829
"ENST00000459249",20.2675250687269,0.205072139806709,0.0629932441956238,3.25546242974665,0.00113207873420424,0.00537763677269163
"ENST00000459254",16.5879295984977,-0.158158197030465,0.0640045041542385,-2.4710479226483,0.0134717764106345,0.0433609987340379
"ENST00000459255",102.776610607634,-0.191846822515252,0.0659919964213614,-2.90712257423314,0.00364770233712767,0.0145380091940568
"ENST00000459259",9.39062570435535,0.172246392926502,0.056807626226994,3.03209981417342,0.00242858883331387,0.0103098175702842
"ENST00000459279",12.7200095206229,0.283156906930478,0.0873329280802618,3.24226970462101,0.00118581743397706,0.00559669975177888
"ENST00000459286",27.1746698919878,-0.122070871098984,0.0392420157463057,-3.11071867174602,0.00186632653782826,0.00823968625873573
"ENST00000459288",34.9042010965427,-0.143675273988877,0.0371076999711197,-3.87184530705749,0.000108014498837816,0.000708933432282829
"ENST00000459301",27.1420055220365,-0.184626509016502,0.0422523517958825,-4.36961497216574,1.24465796052722e-05,0.000107257864203321
"ENST00000459306",64.7030426442565,-0.182957560437263,0.0392043966690133,-4.66676128144245,3.05984477216185e-06,3.12599292376824e-05
"ENST00000459309",325.124147716625,-0.109204095817001,0.0438270405128339,-2.49170590893589,0.0127131253653938,0.041336945023167
"ENST00000459325",50.3565034013022,-0.122799625297346,0.0445047484978801,-2.75924770821242,0.00579346020893334,0.0214943648746343
"ENST00000459360",26.0589552778051,-0.239511340871149,0.0715626824970947,-3.34687483075934,0.000817281044365731,0.00407435653702032
"ENST00000459368",35.5499003581374,0.26234514955549,0.0901733058021545,2.90934381546454,0.00362188305829183,0.0144521754519411
"ENST00000459370",32.5805531813101,-0.150814769281918,0.0494535565409337,-3.04962433100409,0.00229127772147482,0.009811736729534
"ENST00000459374",66.2696604160759,-0.29222173303515,0.0514489879628916,-5.67983442640153,1.34825192076512e-08,2.54738338844013e-07
"ENST00000459381",33.6924736023788,0.297736205215074,0.0753149665070958,3.95321433472353,7.71083080789236e-05,0.000529122067674151
"ENST00000459386",23.3664253430034,-0.221987799230005,0.0809373318827814,-2.7427120967059,0.00609340843110794,0.022412686199267
"ENST00000459448",74.498739429785,0.114000536681976,0.0408582022647251,2.79015057841637,0.0052683533114999,0.0198418371358499
"ENST00000459500",372.30405698162,0.102676815432957,0.0352589755980001,2.91207596623371,0.00359035306242033,0.0143458539324704
"ENST00000459509",52.586237659019,-0.132836188615672,0.0352603193641962,-3.767299644783,0.000165022884863328,0.00102498509625536
"ENST00000459512",83.977609830473,-0.0778018150802841,0.0322426621007733,-2.41300841838423,0.0158214541360594,0.0495130816388544
"ENST00000459535",15.45100898247,-0.263671781494571,0.0592061305628396,-4.45345404247822,8.44998013514866e-06,7.64356067830691e-05
"ENST00000459536",13.3976721410875,-0.174666179307048,0.0653248876238712,-2.67380757411699,0.00749954697418571,0.0266472085116603
"ENST00000459545",44.9302623084153,-0.337138600193825,0.0642033537975987,-5.25110574841083,1.51188845440841e-07,2.19497859131597e-06
"ENST00000459551",9.22825603949684,-0.194678912694619,0.0535863783712654,-3.63299253675654,0.000280153124440102,0.00162133867040222
"ENST00000459562",8.93407636581652,0.167690766787731,0.0626987767487666,2.67454606745625,0.00748304945470063,0.0265999128410817
"ENST00000459607",60.5016745074579,-0.218990609026316,0.0583959166494384,-3.75010140419505,0.00017676307463359,0.00108878035515725
"ENST00000459627",32.9215554999355,0.220828468568095,0.0410110870426624,5.3846041276198,7.26042633910513e-08,1.14120374199873e-06
"ENST00000459630",28.7539713878888,-0.112021412178087,0.033396212656462,-3.35431485391539,0.000795617766232762,0.00398275977695383
"ENST00000459632",78.2602051310594,-0.14351218829537,0.0339037748913574,-4.23292653267214,2.30669874432395e-05,0.000184932359748661
"ENST00000459635",36.2299237438726,0.117135931561645,0.0279983761616122,4.18366875584186,2.86841979076488e-05,0.000223552511911381
"ENST00000459636",54.8598958393981,-0.138538555074613,0.0289500253926273,-4.78543811950833,1.70614747735029e-06,1.87772396790005e-05
"ENST00000459648",32.9218685747353,0.136626372641919,0.0327733061122703,4.16883094350881,3.06165967340969e-05,0.000236873495079801
"ENST00000459653",37.0197203107678,0.0922844080853668,0.0286959079338977,3.21594313370213,0.00130016592699997,0.00605352186708413
"ENST00000459656",128.181131505662,0.0998476271683589,0.022060640845803,4.52605288605452,6.00955468157514e-06,5.66305011455194e-05
"ENST00000459660",48.5005602590414,-0.127908252307442,0.0258515045973373,-4.94780688009224,7.50543175760025e-07,9.06642893615941e-06
"ENST00000459661",25.7616147533866,-0.145152207062638,0.038392799799996,-3.78071429587828,0.000156379049519724,0.000978578430304221
"ENST00000459665",73.7462336960023,0.245998719133002,0.0273357244649706,8.99916588814895,2.27439030189284e-19,4.58917562746816e-17
"ENST00000459666",27.0392116545554,-0.360175561718306,0.0455029435259885,-7.91543433915645,2.46391403514858e-15,2.06754979004458e-13
"ENST00000459667",46.4486856601247,0.251294043736971,0.0485137239264681,5.17985475858038,2.22058727533937e-07,3.08628743773309e-06
"ENST00000459681",23.1380169949118,-0.176415082151875,0.0442165866034302,-3.98979423115824,6.61306398121877e-05,0.000463151024581749
"ENST00000459683",79.041753691036,0.186543136161681,0.0536400166160037,3.47768602491494,0.000505761969281491,0.00269846342405946
"ENST00000459686",188.840695226274,0.138945832374132,0.0244694004066522,5.67835051390792,1.35999810912238e-08,2.5668244688132e-07
"ENST00000459687",39.7051353562919,-0.0656324277168269,0.0263654094726268,-2.48933845631975,0.0127981065013423,0.0415604344708399
"ENST00000459688",71.6591782973311,-0.0678159168205104,0.0237007410090328,-2.86134162618226,0.00421852211542769,0.0164634449960849
"ENST00000459693",25.0130163955098,0.133509250576702,0.0401471499747922,3.32549759224579,0.000882608625278359,0.004349445282747
"ENST00000459701",31.3775107152466,-0.105999789803808,0.0337085013623878,-3.14460108042903,0.00166313445181487,0.00747044498470689
"ENST00000459708",12.7266374127158,0.175852755435704,0.0461516972982473,3.81032043738904,0.000138786785713343,0.000881640534686684
"ENST00000459710",25.9853154875716,-0.106284509364907,0.0335657532714807,-3.16645684979196,0.00154308237755643,0.00701081997166586
"ENST00000459711",54.8440297359243,-0.0647115987017298,0.0228039824498019,-2.83773234978489,0.004543526428632,0.0175158637175264
"ENST00000459713",38.9941960408704,-0.0874344341718488,0.0271681561618251,-3.21826897824984,0.00128966814952756,0.00601030702322716
"ENST00000459714",44.1685894569162,0.585458067264961,0.0612391188259384,9.56019744387611,1.17532261641151e-21,3.70579454617096e-19
"ENST00000459715",24.617115847518,0.156625514508512,0.0503314051483127,3.11188439994831,0.00185897277778863,0.00821470177392491
"ENST00000459716",15.4341564876494,-0.24297993754756,0.0409753216773256,-5.92990921367231,3.03102219572446e-09,6.76101260412259e-08
"ENST00000459718",29.8342748854349,-0.0742715193129085,0.03005929573075,-2.47083364754053,0.0134798507836031,0.0433808245546218
"ENST00000459719",24.6624861522722,0.62169629888975,0.0911004076993503,6.82429765782688,8.83565125834111e-12,3.44807811753904e-10
"ENST00000459723",63.7909395402301,0.13239012140764,0.022925090303969,5.77490075948443,7.69984538972831e-09,1.54460495753776e-07
"ENST00000459724",184.478246200631,-0.229239698740546,0.0353112424285422,-6.49197487753223,8.4718388464531e-11,2.67011079827519e-09
"ENST00000459725",599.035118988309,-0.225518294019868,0.0532700994662594,-4.23348738371905,2.30095096350163e-05,0.000184499529302545
"ENST00000459731",80.2676623761896,-0.101301450707242,0.0232298029480129,-4.36083986308233,1.29564166375539e-05,0.000111138290499729
"ENST00000459732",120.196321564053,-0.39122835025209,0.0567019731518959,-6.89973079427147,5.2101178078515e-12,2.12964908209798e-10
